Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.44  "
MaxChannel,30
GSStartCH,20
WLStartCH,30
MaxLogicChannel,8
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1min
Total data points,40        
Trigger,0         
Start time,2020-11-12,16:54:32
End time,2020-11-12,17:34:12
Trigger time,2020-11-12,16:54:38
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"M1-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,5,6,0
CH2,"M1-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],0,13,23,0
CH3,"M2-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],9,22,8,0
CH4,"M2-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],21,0,21,0
CH5,"C-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,16,2,0
CH6,"C-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],5,23,30,0
CH7,"M2-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],30,23,1,0
CH8,"M1-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,0,17,0
CH9,"M1-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],17,11,7,0
CH10,"M1-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],19,27,0,0
CH11,"M2-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],28,5,6,0
CH12,"M2-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
GS1," GS1","TH",TEMP,,,Off,+100.00,-10.00,[degC],28,5,6,0
GS2," GS2","TH",RH,100%,,Off,+100.00,+0.00,[%],0,13,23,0
GS3," GS3","TH",DEW,,,Off,+100.00,-10.00,[degC],9,22,8,0
GS4," GS4","TH",ATEMP,,,Off,+100,+0,[degCh],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,GS1,GS2,GS3,GS4,Alarm1-10,Alarm11-20,AlarmGS,AlarmOut
NO.,Time,ms,"V","V","V","V","V","V","V","V","degC","degC","degC","degC","degC","%","degC","degCh","A1234567890","A1234567890","A1234567890","AO1234"
         1,2020/11/12 16:54:38,  0,+ 2.878,+ 2.232,+ 2.893,+ 2.364,+ 2.952,+ 2.532,+ 2.492,+ 2.495,+  15.8,+  18.4,+  14.8,+  17.2,+ 19.24,+ 44.90,+  6.95,+     0 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         2,2020/11/12 16:55:38,  0,+ 2.881,+ 2.231,+ 2.895,+ 2.365,+ 2.960,+ 2.541,+ 2.492,+ 2.493,+  15.7,+  18.3,+  14.8,+  17.1,+ 19.24,+ 44.30,+  6.76,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         3,2020/11/12 16:56:38,  0,+ 2.884,+ 2.232,+ 2.898,+ 2.364,+ 2.965,+ 2.554,+ 2.490,+ 2.491,+  15.7,+  18.1,+  14.7,+  17.0,+ 19.24,+ 44.20,+  6.72,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         4,2020/11/12 16:57:38,  0,+ 2.888,+ 2.232,+ 2.901,+ 2.364,+ 2.969,+ 2.566,+ 2.488,+ 2.488,+  15.6,+  18.0,+  14.6,+  16.9,+ 19.14,+ 44.90,+  6.86,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         5,2020/11/12 16:58:38,  0,+ 2.891,+ 2.233,+ 2.905,+ 2.364,+ 2.972,+ 2.589,+ 2.486,+ 2.485,+  15.4,+  17.9,+  14.6,+  16.9,+ 19.04,+ 45.50,+  6.96,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         6,2020/11/12 16:59:38,  0,+ 2.894,+ 2.233,+ 2.906,+ 2.365,+ 2.977,+ 2.597,+ 2.485,+ 2.483,+  15.2,+  17.7,+  14.5,+  16.8,+ 18.96,+ 45.90,+  7.09,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         7,2020/11/12 17:00:38,  0,+ 2.898,+ 2.234,+ 2.911,+ 2.365,+ 2.976,+ 2.597,+ 2.483,+ 2.481,+  15.1,+  17.6,+  14.5,+  16.7,+ 18.90,+ 46.20,+  7.10,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         8,2020/11/12 17:01:38,  0,+ 2.902,+ 2.235,+ 2.915,+ 2.366,+ 2.980,+ 2.602,+ 2.483,+ 2.479,+  14.9,+  17.4,+  14.4,+  16.6,+ 18.87,+ 46.40,+  7.16,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         9,2020/11/12 17:02:38,  0,+ 2.905,+ 2.237,+ 2.919,+ 2.368,+ 2.979,+ 2.613,+ 2.481,+ 2.477,+  14.8,+  17.2,+  14.3,+  16.6,+ 18.84,+ 46.50,+  7.10,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        10,2020/11/12 17:03:38,  0,+ 2.909,+ 2.238,+ 2.923,+ 2.369,+ 2.979,+ 2.611,+ 2.480,+ 2.474,+  14.7,+  17.1,+  14.3,+  16.6,+ 18.83,+ 46.60,+  7.13,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        11,2020/11/12 17:04:38,  0,+ 2.913,+ 2.239,+ 2.926,+ 2.370,+ 2.981,+ 2.611,+ 2.478,+ 2.472,+  14.6,+  17.0,+  14.3,+  16.5,+ 18.80,+ 46.70,+  7.16,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        12,2020/11/12 17:05:38,  0,+ 2.916,+ 2.241,+ 2.929,+ 2.372,+ 2.981,+ 2.607,+ 2.477,+ 2.470,+  14.4,+  16.9,+  14.2,+  16.5,+ 18.77,+ 46.80,+  7.19,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        13,2020/11/12 17:06:38,  0,+ 2.920,+ 2.242,+ 2.934,+ 2.373,+ 2.984,+ 2.605,+ 2.476,+ 2.468,+  14.4,+  16.8,+  14.1,+  16.4,+ 18.77,+ 46.80,+  7.19,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2020/11/12 17:07:38,  0,+ 2.923,+ 2.244,+ 2.938,+ 2.376,+ 2.984,+ 2.609,+ 2.475,+ 2.466,+  14.2,+  16.6,+  14.0,+  16.3,+ 18.77,+ 46.80,+  7.19,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2020/11/12 17:08:38,  0,+ 2.927,+ 2.246,+ 2.942,+ 2.377,+ 2.987,+ 2.623,+ 2.474,+ 2.464,+  14.1,+  16.5,+  13.9,+  16.2,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2020/11/12 17:09:38,  0,+ 2.930,+ 2.247,+ 2.945,+ 2.379,+ 2.987,+ 2.638,+ 2.473,+ 2.461,+  14.0,+  16.4,+  13.9,+  16.1,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2020/11/12 17:10:38,  0,+ 2.934,+ 2.248,+ 2.949,+ 2.381,+ 2.986,+ 2.639,+ 2.470,+ 2.459,+  13.9,+  16.3,+  13.8,+  16.1,+ 18.77,+ 46.90,+  7.22,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2020/11/12 17:11:38,  0,+ 2.937,+ 2.250,+ 2.952,+ 2.384,+ 2.988,+ 2.646,+ 2.470,+ 2.457,+  13.9,+  16.2,+  13.9,+  16.1,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2020/11/12 17:12:38,  0,+ 2.941,+ 2.253,+ 2.956,+ 2.386,+ 2.990,+ 2.647,+ 2.469,+ 2.456,+  13.8,+  16.2,+  13.8,+  16.0,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        20,2020/11/12 17:13:38,  0,+ 2.944,+ 2.254,+ 2.959,+ 2.388,+ 2.991,+ 2.652,+ 2.467,+ 2.453,+  13.8,+  16.1,+  13.7,+  15.9,+ 18.77,+ 46.90,+  7.22,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        21,2020/11/12 17:14:38,  0,+ 2.948,+ 2.257,+ 2.963,+ 2.389,+ 2.991,+ 2.651,+ 2.466,+ 2.452,+  13.7,+  16.0,+  13.6,+  15.8,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        22,2020/11/12 17:15:38,  0,+ 2.951,+ 2.259,+ 2.966,+ 2.392,+ 2.990,+ 2.658,+ 2.466,+ 2.450,+  13.6,+  15.9,+  13.6,+  15.7,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        23,2020/11/12 17:16:38,  0,+ 2.954,+ 2.261,+ 2.970,+ 2.393,+ 2.990,+ 2.669,+ 2.464,+ 2.448,+  13.6,+  15.8,+  13.5,+  15.7,+ 18.77,+ 47.00,+  7.26,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        24,2020/11/12 17:17:38,  0,+ 2.958,+ 2.263,+ 2.973,+ 2.396,+ 2.989,+ 2.670,+ 2.464,+ 2.447,+  13.5,+  15.8,+  13.5,+  15.6,+ 18.77,+ 47.00,+  7.26,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        25,2020/11/12 17:18:38,  0,+ 2.961,+ 2.265,+ 2.976,+ 2.399,+ 2.992,+ 2.661,+ 2.463,+ 2.444,+  13.4,+  15.7,+  13.4,+  15.6,+ 18.77,+ 47.00,+  7.26,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        26,2020/11/12 17:19:38,  0,+ 2.964,+ 2.268,+ 2.979,+ 2.401,+ 2.994,+ 2.659,+ 2.461,+ 2.442,+  13.3,+  15.6,+  13.3,+  15.5,+ 18.77,+ 47.10,+  7.29,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        27,2020/11/12 17:20:38,  0,+ 2.968,+ 2.270,+ 2.982,+ 2.402,+ 2.997,+ 2.663,+ 2.461,+ 2.442,+  13.3,+  15.5,+  13.3,+  15.4,+ 18.77,+ 47.10,+  7.29,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        28,2020/11/12 17:21:38,  0,+ 2.971,+ 2.273,+ 2.985,+ 2.404,+ 3.001,+ 2.664,+ 2.461,+ 2.440,+  13.2,+  15.4,+  13.2,+  15.3,+ 18.77,+ 47.10,+  7.29,+     9 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        29,2020/11/12 17:22:38,  0,+ 2.974,+ 2.275,+ 2.988,+ 2.406,+ 3.004,+ 2.674,+ 2.459,+ 2.439,+  13.2,+  15.3,+  13.2,+  15.3,+ 18.76,+ 47.10,+  7.29,+     9 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        30,2020/11/12 17:23:38,  0,+ 2.976,+ 2.276,+ 2.989,+ 2.406,+ 3.004,+ 2.677,+ 2.459,+ 2.438,+  13.1,+  15.2,+  13.0,+  15.2,+ 18.75,+ 47.10,+  7.29,+     9 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        31,2020/11/12 17:24:38,  0,+ 2.981,+ 2.281,+ 2.993,+ 2.410,+ 3.005,+ 2.683,+ 2.459,+ 2.436,+  13.0,+  15.1,+  13.0,+  15.1,+ 18.73,+ 47.10,+  7.20,+    10 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        32,2020/11/12 17:25:38,  0,+ 2.984,+ 2.284,+ 2.997,+ 2.412,+ 3.007,+ 2.687,+ 2.457,+ 2.434,+  13.0,+  15.1,+  13.0,+  15.1,+ 18.70,+ 47.20,+  7.23,+    10 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        33,2020/11/12 17:26:38,  0,+ 2.988,+ 2.287,+ 3.000,+ 2.413,+ 3.006,+ 2.690,+ 2.455,+ 2.432,+  12.9,+  15.0,+  12.9,+  15.0,+ 18.69,+ 47.20,+  7.23,+    10 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        34,2020/11/12 17:27:38,  0,+ 2.991,+ 2.288,+ 3.003,+ 2.416,+ 3.006,+ 2.692,+ 2.455,+ 2.430,+  12.9,+  14.9,+  12.9,+  15.0,+ 18.66,+ 47.20,+  7.23,+    11 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        35,2020/11/12 17:28:38,  0,+ 2.994,+ 2.291,+ 3.006,+ 2.419,+ 3.006,+ 2.686,+ 2.454,+ 2.429,+  12.8,+  14.9,+  12.8,+  14.9,+ 18.64,+ 47.30,+  7.17,+    11 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        36,2020/11/12 17:29:38,  0,+ 2.998,+ 2.294,+ 3.007,+ 2.421,+ 3.006,+ 2.690,+ 2.453,+ 2.428,+  12.7,+  14.8,+  12.7,+  14.9,+ 18.63,+ 47.30,+  7.17,+    11 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        37,2020/11/12 17:30:38,  0,+ 3.001,+ 2.296,+ 3.012,+ 2.422,+ 3.007,+ 2.692,+ 2.453,+ 2.426,+  12.7,+  14.7,+  12.7,+  14.8,+ 18.61,+ 47.40,+  7.20,+    12 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        38,2020/11/12 17:31:38,  0,+ 3.004,+ 2.299,+ 3.014,+ 2.424,+ 3.008,+ 2.696,+ 2.452,+ 2.425,+  12.7,+  14.7,+  12.6,+  14.7,+ 18.59,+ 47.40,+  7.20,+    12 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        39,2020/11/12 17:32:38,  0,+ 3.007,+ 2.301,+ 3.017,+ 2.427,+ 3.010,+ 2.695,+ 2.451,+ 2.423,+  12.6,+  14.6,+  12.5,+  14.6,+ 18.57,+ 47.40,+  7.20,+    12 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        40,2020/11/12 17:33:38,  0,+ 3.010,+ 2.304,+ 3.020,+ 2.429,+ 3.011,+ 2.705,+ 2.450,+ 2.421,+  12.6,+  14.6,+  12.5,+  14.6,+ 18.55,+ 48.00,+  7.38,+    13 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
